,artist_name,track_name,track_id,popularity
280,The Weeknd,Hurt You,6QdnKD1zwEgyOWtkrdzlOF,76
281,Lil Wayne,Mona Lisa (feat. Kendrick Lamar),0dbTQYW3Ad1FTzIA9t90E8,69
282,Sean Paul,No Lie,48QmG1dfvMuYLxMPt7KSRA,83
283,City Girls,Act Up,3A2yGHWIzmGEIolwonU69h,69
284,J. Cole,KOD,7yotKA30dwTKNEGomV9ZsI,70
285,$uicideboy$,Coma,73hmZZ7HyLgUQj2DaybfBb,69
286,Juice WRLD,I'm Still,19m3E0nMZobyA93AxMXC32,70
287,Alec Benjamin,If I Killed Someone For You,0WHi11uzahqpEtPGYCW6oQ,73
288,BLACKPINK,DDU-DU DDU-DU,4lQsB3ERTWSNaAN1IkuNRl,76
289,Tyler Childers,Deadman's Curve (Live),3BLKY8w5XTehYgLb3cFZgg,67
290,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,78
291,I DONT KNOW HOW BUT THEY FOUND ME,Choke,37mfTcSlX60JtAvAETytGs,71
292,Cosculluela,Madura,5n2XTRsYFlZwNBp06KAjDX,80
293,HARDY,REDNECKER,0YVdTI4w1BEqSjGNXcRjX1,68
294,Drake,Jaded,4c2xt1trwYZpMqPWY35Xi9,70
295,KIDS SEE GHOSTS,Reborn,4RVbK6cV0VqWdpCDcx3hiT,70
296,Eminem,Killshot,1jo3TwNGCXfNdB5uba3ZVv,72
297,XXXTENTACION,whoa (mind in awe),7pdF27mSDuPWhppnHAmWHa,73
298,Maroon 5,What Lovers Do (feat. SZA),2j5hsQvApottzvTn4pFJWF,67
299,Crafting Audio,Cabin Noise Focus,3kxUcpFquT4ZdvJC1Nyu5q,74
300,Halsey,Without Me,5p7ujcrUXASCNwRaWNHR1C,77
301,Ozuna,Solita,7rwX0O3RlxqqIjQM8evm5E,76
302,Takeoff,Last Memory,1fvCggAYrW0VtCljtqv4h2,69
303,The Weeknd,Try Me,4ppTAJUbNXELZcoUaL90wo,76
304,Giveon,Garden Kisses,62d6YXEYxmMWAuLpw1EysL,70
305,Jeremy Zucker,comethru,18uwL0vNUanqZH0ro2QcOP,78
306,A Boogie Wit da Hoodie,Love Drugs and Sex,1Gno5IBUHh6vUKp4nxu2Yd,69
307,The Weeknd,Wasted Times,7DKS0rX27cCEPsK0R6tFWS,74
308,Bad Bunny,Otra Noche en Miami,4vCAzANUWDE24URV6wQ4ra,79
309,Marshmello,FRIENDS,08bNPGLD8AhKpnnERrAc6G,79
310,Only The Family,No Auto Durk,4VcPtoOpK3oBMDZJ9Ptp9f,68
311,Juice WRLD,Scared Of Love,49QVOdWgGagzLrThkIqtK6,70
312,lovelytheband,broken,6XcfKZvJio9Z0fQy11GnNX,70
313,Alec Benjamin,Boy In The Bubble,60cYr5uuMoxvyuIx45rGEW,71
314,Lil Peep,Life is Beautiful,5rYpwP1dHWGVMrSZbTmt3e,72
315,Shinedown,MONSTERS,1qAuIPMALdFtGv2Ymjy5l0,68
316,Strawberry Guy,F Song,4z9KVNX4hmk672SJfhtQNz,71
317,Yung Gravy,Mr. Clean,5GxnROd93Y7NGt2ci0TwBw,68
318,Kacey Musgraves,Butterflies,30VHURM5NOfoZmqp2iKawS,68
319,Lil Wayne,Uproar,3wScL5W8H40zzCKN0atfBk,68
320,6ix9ine,FEFE,1M6SuEJZJkZf2S419vIPkB,72
321,Lil Peep,Runaway,1FBi1YWCAxlRmfuUbMINqO,72
322,5 Seconds of Summer,Ghost Of You,1MhXdlCQPnO56T57MfmaRm,76
323,Ocie Elliott,Down by the Water,4Vutl1Y7OJOBwIqVISNmzL,71
324,Mac Miller,2009,6dFn6my1sHK2bcf23GlHwM,70
325,Jubël,Dancing In The Moonlight (feat. NEIMY),4GSDkZt7GcmzBWmsMcpaVO,76
326,Kacey Musgraves,Slow Burn,6ET9kf9riLETWs9lePUEAI,68
327,Peach Pit,Alrighty Aphrodite,6OiRh4kttAs1YWglvTcYkB,69
